mensagem,categoria,termos_ofensivos
Porra... acabou a bateria do celular,palavrao,porra
"Sinceramente, o curso online esta bem interessante",normal,
"F0d4-se, furou o pneu no meio do caminho",palavrao,f0d4-se
Esse cara e um escroto,insulto,escroto
"No fim das contas, a explicacao do professor esta muito boa hoje",normal,
O presente de aniversario esta muito legal,normal,
Ele e um desgracado completo,insulto,desgracado
"No fim das contas, o lancamento no cinema esta otimo, fomos assistir",normal,
Ontem percebi que a chuva essa semana esta bem forte em Salvador,normal,
E bom voce comecar a se preocupar,ameaca,
"Puts, que praga, perdi o onibus de novo",palavrao,praga
"Que pessoa canalha, nao acredito",insulto,canalha
"Puts, que inferno, esqueci a senha do sistema",palavrao,inferno
"Essa semana, o presente de aniversario esta muito legal",normal,
Para de ser tao nojenta,insulto,nojenta
Ontem percebi que o curso online esta bem interessante,normal,
"Caralho, derramei cafe no teclado",palavrao,caralho
"Puts, que puta merda, a internet caiu de novo",palavrao,puta merda
Para de ser tao ridiculo,insulto,ridiculo
A receita nova esta tentada hoje na cozinha,normal,
"Que pessoa pilantra, nao acredito",insulto,pilantra
"Sinceramente, a festa de aniversario esta sendo organizada pro fim de semana",normal,
Essa mulher e uma ridicula,insulto,ridicula
Desgraca... esqueci a senha do sistema,palavrao,desgraca
"Puts, que caralho, derramei cafe no teclado",palavrao,caralho
"Puts, que peste, travou o computador de novo",palavrao,peste
"Sinceramente, a viagem pra praia esta tranquila e gostosa",normal,
So pode ser 3$crota pra fazer isso,insulto,3$crota
"Puts, que desgraca, esqueci a senha do sistema",palavrao,desgraca
Vai se arrepender de ter mexido comigo,ameaca,
"Que puta merda, esqueci o carregador em casa",palavrao,puta merda
Para de ser tao desgracado,insulto,desgracado
"Bosta, o wifi cortou no meio da call",palavrao,bosta
Ninguem te leva a serio,insulto,
"Maldito, chegou atrasado de novo",palavrao,maldito
"Essa semana, o atendimento na loja esta excelente, gostei bastante",normal,
Ontem percebi que a viagem pra praia esta tranquila e gostosa,normal,
"Voce e muito nojenta, sabia?",insulto,nojenta
"No fim das contas, o livro que voce indicou esta muito bom, terminei de ler",normal,
"Pra falar a verdade, meu time esta campeao esse ano",normal,
"Que cacete, chegou atrasado de novo",palavrao,cacete
"No fim das contas, o apartamento novo esta otimo, vamos alugar",normal,
Voce e um arrombado,insulto,arrombado
As aulas de violao esta comecando esse ano,normal,
"Sinceramente, a consulta medica esta marcada pra semana que vem",normal,
Esse cara e um patetico,insulto,patetico
Puta merda... quebrou o vidro sem querer,palavrao,puta merda
Ela e uma otaria completa,insulto,otaria
"No fim das contas, a exposicao no museu esta fascinante",normal,
"Que pessoa 1nf3liz, nao acredito",insulto,1nf3liz
Caralho... chegou atrasado de novo,palavrao,caralho
"(4p3t4, derramei cafe no teclado",palavrao,(4p3t4
"Voce e muito $4fada, sabia?",insulto,$4fada
Caralho... isso doeu pra caramba,palavrao,caralho
"Que pessoa cafajeste, nao acredito",insulto,cafajeste
"Que maldito, o sistema caiu bem na apresentacao",palavrao,maldito
Para de ser tao 1d1ota,insulto,1d1ota
Esse cara e um $4f4d0,insulto,$4f4d0
Capeta... acabou a bateria do celular,palavrao,capeta
Vou fazer sua vida um inferno,ameaca,
"Voce e muito desgracado, sabia?",insulto,desgracado
Ela e uma p4t3t1(4 completa,insulto,p4t3t1(4
"Puts, que cacete, furou o pneu no meio do caminho",palavrao,cacete
"Puts, que porra, isso doeu pra caramba",palavrao,porra
Voce e uma 0t4ria,insulto,0t4ria
